file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R
1089-134691-0015,1089,3.395,1.795,34.44097,,False,False,False,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1089-134691-0016,1089,9.06,2.030000000000001,35.39373,59.84557,False,True,False,6,10,0,0,0,0,0,0,5,0,0,1,0,1,1,1,1,0,0,1,1,1,0,3,0,0,0,79,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1089-134691-0017,1089,11.695,1.5549999999999988,35.479797,57.997326,False,True,False,9,20,0,0,0,0,1,0,3,0,0,5,0,2,3,1,1,2,0,2,7,0,2,0,0,0,1,114,0,1,0,1,3,0,2,0,0,0,0,0,1,0,0,1,1,12,0,0
1089-134691-0018,1089,3.09,1.5599999999999998,34.43605,,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
1089-134691-0019,1089,3.155,0.885,34.828632,59.987484,False,True,False,1,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1089-134691-0020,1089,3.99,1.0400000000000003,35.239372,59.13247,False,True,False,3,6,0,2,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,28,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
1089-134691-0021,1089,13.37,1.9999999999999973,34.89978,59.14866,False,True,False,7,21,0,0,0,0,0,0,1,0,0,6,0,0,2,2,1,1,0,5,5,0,1,4,0,0,0,138,0,2,0,0,5,1,0,0,2,0,0,0,3,1,1,3,0,14,0,0
1089-134691-0022,1089,5.635,0.8949999999999998,34.78297,60.01259,False,True,False,4,7,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,54,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0
1089-134691-0023,1089,7.735,0.9350000000000006,34.983433,56.816933,False,True,False,3,10,0,0,0,0,0,0,1,0,0,2,0,1,3,0,0,1,0,3,1,0,0,1,0,0,0,84,0,3,0,0,3,0,0,0,1,0,0,0,1,0,0,3,1,7,0,0
1089-134691-0024,1089,2.215,0.7349999999999999,35.695187,58.012943,False,True,False,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,15,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1089-134691-0025,1089,8.005,1.225000000000001,34.21332,57.252407,False,True,False,3,8,0,0,0,0,0,0,1,0,0,2,0,1,0,2,1,1,0,1,2,0,0,0,0,0,0,78,0,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0
1188-133604-0000,1188,10.725,4.345,36.480377,55.20555,False,True,False,4,10,0,1,0,0,0,0,1,0,0,2,0,0,4,1,0,0,0,1,1,0,2,1,0,0,0,79,0,6,0,0,7,2,0,0,1,0,1,0,0,0,0,2,0,13,0,0
1188-133604-0001,1188,9.04,2.9,36.39777,51.73866,False,True,False,6,18,0,0,0,0,0,0,3,0,0,3,0,0,3,1,1,2,0,2,4,0,3,2,1,0,0,83,0,3,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0
1188-133604-0002,1188,17.96,4.049999000000002,36.00889,56.26625,False,True,False,16,26,0,1,0,0,0,0,10,0,0,5,0,3,4,1,2,3,0,4,6,0,1,2,0,0,0,193,0,3,0,1,8,0,1,0,1,0,0,0,1,2,1,3,1,17,0,0
1188-133604-0003,1188,12.61,2.959999999999999,35.80637,53.5096,False,True,False,5,13,0,0,0,0,0,0,3,0,0,2,0,2,2,0,1,2,0,1,3,0,1,1,0,0,0,128,0,5,0,0,5,0,0,0,2,0,0,0,0,1,0,3,0,15,0,0
1188-133604-0004,1188,10.65,2.459999999999999,36.19413,49.420822,False,True,False,3,17,0,2,0,0,0,0,0,0,0,1,0,1,2,2,0,4,0,3,2,0,0,3,2,0,0,111,0,5,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0
1188-133604-0005,1188,8.56,2.1999999999999993,39.48297,55.71259,False,True,False,10,13,0,1,1,0,0,0,4,0,0,4,0,1,3,0,0,2,0,3,2,0,0,2,0,0,0,89,0,2,0,1,5,0,0,0,1,0,0,0,1,0,0,2,0,4,1,0
1188-133604-0006,1188,2.4,1.03,37.544548,,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0
1188-133604-0007,1188,14.24,3.1499999999999986,38.61832,57.536198,False,True,False,6,26,0,1,0,0,0,0,2,1,0,2,0,2,4,3,1,2,0,6,4,0,0,4,0,0,0,144,0,4,0,2,8,1,0,0,0,0,0,0,0,1,0,3,1,13,0,0
1188-133604-0008,1188,20.755,4.505000999999998,36.676216,55.243805,False,True,False,11,30,0,1,1,0,0,0,3,0,0,6,1,0,6,1,1,2,0,9,7,0,2,1,0,0,0,211,0,11,0,2,8,0,0,2,1,0,0,0,1,0,0,3,4,22,0,0
1188-133604-0009,1188,23.06,5.029999000000002,37.57572,55.434444,False,True,False,11,47,1,0,0,0,0,0,6,0,0,4,0,2,11,4,1,6,0,7,7,0,2,7,0,0,0,244,0,8,0,1,10,0,1,0,1,0,0,0,0,1,1,4,0,23,0,0
1188-133604-0010,1188,6.095,1.9349999999999998,36.627174,57.845684,False,True,False,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,1,2,0,1,0,0,0,0,58,0,1,0,0,5,1,0,0,0,0,0,0,0,2,0,2,0,5,0,0
1188-133604-0011,1188,15.19,3.179999999999999,42.716137,56.57139,False,True,False,9,21,0,0,0,0,0,0,5,0,0,4,0,2,2,1,2,3,0,4,5,0,0,2,0,0,0,150,0,3,0,1,6,0,0,0,0,0,0,0,3,1,0,3,1,14,0,0
1188-133604-0012,1188,14.65,4.4,37.45306,54.001686,False,True,False,8,19,1,0,0,0,0,0,5,0,0,2,0,1,4,2,1,1,0,5,2,0,1,2,0,0,0,123,0,6,0,0,9,0,0,0,2,0,0,0,0,1,0,0,1,6,0,0
1188-133604-0013,1188,3.02,0.9300000000000002,34.814575,60.045265,False,True,False,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,25,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0
1188-133604-0014,1188,4.39,1.5499999999999996,37.808296,54.912174,False,True,False,4,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39,0,2,0,0,3,0,0,0,1,0,0,0,1,1,0,0,1,4,0,0
1188-133604-0015,1188,16.085,3.8049999999999997,34.969963,56.71244,False,True,False,9,29,1,0,0,0,1,0,5,0,0,2,0,4,7,1,1,1,0,8,7,0,0,0,0,0,0,173,0,6,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,15,1,0
1188-133604-0016,1188,16.595,4.234999999999999,37.667664,56.286358,False,True,False,7,27,1,0,0,0,0,0,4,1,0,1,0,1,2,1,2,6,0,2,6,0,3,4,0,0,0,175,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,1,1,18,1,0
1188-133604-0017,1188,4.615,0.7250000000000005,36.56195,59.290432,False,True,False,4,10,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,3,0,1,3,0,0,0,0,0,0,51,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
1188-133604-0018,1188,11.5499375,1.7499379999999998,38.200657,57.62535,False,True,False,8,26,0,1,0,0,0,0,1,0,0,6,1,2,6,1,0,2,0,6,4,0,1,3,0,0,0,137,0,4,0,3,4,0,0,1,1,0,0,0,1,0,0,4,2,11,0,0
1188-133604-0019,1188,13.93,3.9499999999999997,39.61123,57.863216,False,True,False,10,23,1,0,0,0,0,0,4,0,0,5,1,0,6,0,2,3,0,6,4,0,0,1,0,0,0,129,0,4,0,1,7,0,0,0,1,0,0,0,1,0,0,3,1,12,2,0
1188-133604-0020,1188,10.26,2.839999999999999,36.804653,59.90827,False,True,False,3,20,0,0,0,0,0,0,2,1,0,0,0,1,2,1,2,4,0,2,3,0,3,2,0,0,0,94,0,5,0,0,7,0,0,0,0,0,0,0,0,1,0,2,0,12,0,0
1188-133604-0021,1188,14.02,2.8000000000000007,37.334538,59.36113,False,True,False,12,33,0,0,0,1,0,1,7,0,0,3,0,0,8,1,0,6,0,7,6,0,3,2,0,0,0,156,0,3,0,0,6,1,1,0,0,0,0,0,1,0,1,1,2,14,0,0
1188-133604-0022,1188,9.63,3.2400000000000007,40.693783,53.893185,False,True,False,4,9,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,0,0,0,80,0,5,0,0,7,1,0,0,0,0,0,0,0,0,0,3,0,10,0,0
1188-133604-0023,1188,23.67,8.770001000000004,37.681633,58.883,False,True,False,10,28,1,0,1,1,0,1,5,0,0,1,1,2,5,2,1,1,0,11,3,0,0,2,1,0,1,181,0,8,0,0,13,2,0,0,0,0,0,0,0,0,0,6,1,16,0,0
1188-133604-0024,1188,15.24,4.179999999999998,38.118404,59.309288,False,True,False,12,26,0,1,0,0,0,0,4,0,0,7,0,1,6,2,1,2,0,1,7,0,2,4,0,0,0,153,0,5,0,1,10,0,0,0,4,0,0,1,0,0,0,2,2,16,1,0
1188-133604-0025,1188,7.45,1.6100000000000003,37.501102,59.188488,False,True,False,8,15,1,0,0,1,0,0,3,1,0,2,0,1,4,0,0,1,0,6,1,0,2,0,0,0,1,82,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
1188-133604-0026,1188,20.125,4.765000999999996,34.598785,56.49863,False,True,False,12,34,1,1,0,0,0,0,5,1,0,4,0,2,8,1,1,2,0,10,6,0,1,3,1,0,0,190,0,6,0,1,9,1,0,1,1,0,0,0,1,0,0,6,0,14,0,0
1188-133604-0027,1188,11.245,3.2449999999999974,35.35349,52.532856,False,True,False,7,23,0,1,0,1,0,0,3,0,0,2,0,1,7,1,0,2,0,5,5,0,1,1,0,0,0,102,0,4,0,0,6,1,0,1,1,0,0,0,0,1,0,0,1,6,0,0
1188-133604-0028,1188,19.005,5.635001000000003,33.30408,56.53777,False,True,False,9,27,1,1,0,0,0,0,3,0,0,4,0,3,5,2,0,0,0,10,3,0,1,3,0,0,1,167,0,5,0,1,13,0,0,1,1,0,0,0,0,1,0,0,0,15,0,0
1188-133604-0029,1188,3.705,1.5650000000000002,34.48542,57.56133,False,True,False,4,6,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,2,1,0,0,0,0,0,1,28,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
1188-133604-0030,1188,1.915,0.885,36.98434,,False,False,False,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1188-133604-0031,1188,4.25,1.77,37.31482,,False,False,False,2,8,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,36,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0
1188-133604-0032,1188,10.985,2.9149999999999983,35.12663,58.86043,False,True,False,6,19,0,0,0,0,0,0,5,0,0,1,0,1,4,3,0,2,0,4,4,0,0,1,0,0,0,108,0,3,0,0,7,1,0,0,1,0,0,0,0,1,0,2,1,11,0,0
